Bodega,Año,Vino_ID,Vino,Rating,Nº_reseñas,Precio,Región
Finca Venta de Don Quijote,2021,1939609,Sauvignon Blanc - Macabeo 2021,3.9,370,2.72,La Mancha
Poesia,2018,2417383,Blanco 2018,3.0,25,3.15,Cataluña
Viña Alcanta,2021,1407839,Merseguera - Macabeo 2021,3.5,50,3.2,Alicante
Valcarlos,2018,1440591,Fortius Blanco 2018,3.1,42,3.44,Navarra
Valcarlos,2020,1994774,Fortius Blanco Chardonnay 2020,3.6,40,3.75,Navarra
Matarromera,2020,78478,Melior Verdejo 2020,3.7,203,3.75,Rueda
Herrero Bodega,2019,1541100,Erre de Herrero Verdejo 2019,3.9,68,3.75,Rueda
Barbadillo,2019,1158428,Castillo de San Diego 2019,3.3,608,3.9,Cádiz
El Circo,2020,3851820,Zancudo Chardonnay 2020,3.3,38,3.9,Cariñena
Mesta,2021,2146048,Verdejo 2021,3.5,145,3.94,Uclés
Bodegas Franco-Españolas,2021,1100359,Diamante Semi-Dulce Blanco 2021,3.7,48,3.95,Rioja
Bodegas Ochoa,2020,2928988,Calendas Blanco 2020,3.5,75,3.95,Navarra
Félix Solís,2020,4898339,Casa Albali Verdejo - Sauvignon Blanc 2020,3.8,377,3.95,Valdepeñas
Nuviana,2021,1623884,Chardonnay 2021,3.5,33,3.95,Valle del Cinca
Bach,2020,1189024,Extrísimo Semi Dulce 2020,3.6,312,3.98,Cataluña
Casa de Luz,2020,2344701,Verdejo 2020,3.4,30,3.99,Rueda
Bodegas Faustino,2021,22352,VII Bianco 2021,3.6,125,3.99,Rioja
Contreras Ruiz,2020,1298020,Viña Barredero 2020,3.7,307,4.0,Condado de Huelva
Bach,2021,1213022,Viña Extrísima Seco 2021,3.4,130,4.01,Penedès
Marques de Vitoria,2020,1187301,Rioja Blanc 2020,3.8,25,4.01,Rioja
Bodega Sommos,2021,5219152,Glárima Blanco 2021,3.6,63,4.03,Somontano
El Coto,2021,8617,Blanco 2021,3.6,956,4.05,Rioja Alta
Dominio de Eguren,2020,6249820,Protocolo Organic White 2020,3.3,27,4.1,Castilla
Cuatro Rayas,2021,3966986,Descomunal Verdejo 2021,3.8,128,4.15,Rueda
Finca del Mar,2021,2033889,Chardonnay 2021,3.6,31,4.166666666666667,Utiel-Requena
Dehesa de Luna,2021,2375264,Luna Lunera Sauvignon Blanc 2021,3.5,31,4.2,Castilla
Séptimo Sentido,2021,4204587,Verdejo 2021,3.7,40,4.25,Castilla
Cuatro Rayas,2020,3966986,Descomunal Verdejo 2020,3.7,310,4.25,Rueda
Dehesa El Carrascal,2021,1586923,Almarina 2021,3.9,41,4.28,Castilla
Rigau Ros,2021,2220522,Blanc Flor 2021,3.7,42,4.34,Empordà
Marqués de Vizhoja,2020,1138161,Marqués de Vizhoja 2020,3.6,90,4.37,Vino de España
Bach,2020,1213022,Viña Extrísima Seco 2020,3.5,162,4.4,Penedès
Bodegas Aragonesas,2021,1194945,Coto de Hayas Chardonnay 2021,3.2,35,4.4,Campo de Borja
Valcarlos,2017,5992844,Sierra de Codes Macabeo - Chardonnay 2017,3.1,74,4.4,Navarra
Freixenet,2019,1583328,Mia Blanco 2019,3.4,563,4.4,Penedès
Oliveda,2021,1503539,Blanc de Blancs 2021,3.7,42,4.44,Empordà
Domènech.Vidal,2021,1758932,Masia La.Sala Blanco 2021,3.6,27,4.45,Cataluña
Finca Los Trenzones,2021,77084,Verdejo 2021,3.5,28,4.46,La Mancha
Condesa de Leganza,2021,2031913,Verdejo 2021,3.4,67,4.46,Castilla y León
Barbadillo,2021,1158428,Castillo de San Diego 2021,3.4,353,4.48,Cádiz
Campo Viejo,2020,1163284,Semidulce 2020,3.7,57,4.5,Rioja
Campo Viejo,2021,4689547,Viura - Tempranillo Blanco 2021,3.7,90,4.5,Rioja
Monólogo,2020,3362412,Verdejo 2020,3.3,98,4.51,Rueda
Portell - Vinícola de Sarral,2017,2320418,Blanc de Blancs 2017,2.6,28,4.54,Conca de Barberà
Bodega Pirineos,2020,2114317,Montesierra White Blend 2020,3.5,27,4.54,Somontano
Castillo Perelada,2021,1222784,Emporda Blanc de Blancs 2021,3.4,39,4.55,Empordà
Bodegas Faustino,2021,22353,V Bianco 2021,3.6,95,4.6,Rioja
Viñas del Vero,2020,23475,Chardonnay - Macabeo Blanco Somontano 2020,3.4,197,4.65,Somontano
J. Fernando,2021,7526420,Verdejo 2021,3.6,94,4.67,Rueda
Bodega Sommos,2020,5219152,Glárima Blanco 2020,3.6,243,4.7,Somontano
Federico Paternina,2019,8016477,Banda Verde Blanco 2019,3.3,53,4.75,Rioja
Borsao Bodegas,2021,1890353,Blanco (Selección) 2021,3.6,40,4.75,Campo de Borja
Finca La Estacada,2021,2316777,Chardonnay - Sauvignon Blanc 2021,3.4,26,4.75,Uclés
Ca N'Estruc,2020,1958044,Blanc 2020,3.5,44,4.77,Cataluña
Marqués de Vizhoja,2021,1138161,Marqués de Vizhoja 2021,3.6,122,4.78,Vino de España
Marqués de Riscal,2021,2036125,Viña Calera Verdejo 2021,3.4,41,4.79,Rueda
Bodega Pirineos,2021,7515142,3404 Blanco 2021,3.9,72,4.85,Somontano
Particular,2019,3099855,Chardonnay 2019,3.4,42,4.9,Cariñena
Laus,2021,5296693,Blanco 2021,3.5,39,4.9,Somontano
Viña Albina,2015,10341,Semidulce 2015,3.8,36,4.9,Rioja
Castillo Perelada,2021,1643599,Empordà Jardins Blanc 2021,3.7,58,4.94,Empordà
Bodegas Aragonesas,2021,7134828,Coto de Hayas Verdejo 2021,3.2,25,4.95,Campo de Borja
Bodegas Faustino,2020,22353,V Bianco 2020,3.5,295,4.95,Rioja
Baluarte,2021,5864576,Muscat 2021,4.2,152,4.95,Navarra
Oriol Rossell,2021,1504050,Xino-Xano Blanco 2021,3.4,26,4.95,Penedès
