Bodega,Año,Vino_ID,Vino,Rating,Nº_reseñas,Precio,Región
Dubois,N.V.,1273908,Brut N.V.,2.8,198,2.9,Cava
Castell d'Ordal,N.V.,2318783,Sekt Brut N.V.,3.1,1049,3.47,Cava
Rigol,N.V.,1899163,Cava Brut Nature N.V.,3.3,515,3.61,Cava
Reymos,N.V.,2165603,Amatista Moscato Rosado N.V.,3.8,318,3.62,Valencia
Reymos,N.V.,2500600,Amatista Moscato N.V.,3.9,1233,3.62,Valencia
Codorníu,N.V.,1262423,Cava Brut Nature Roger de Flor N.V.,3.1,1204,3.63,Cava
Jaume Serra,N.V.,1136343,Cava Brut Nature N.V.,3.2,4733,3.7,Cava
Cresta Rosa,N.V.,2350412,Rosé N.V.,3.3,846,3.83,Penedès
Bach,N.V.,1204442,Cava Extrísimo Brut Nature N.V.,3.2,2548,3.95,Cava
Castell d'Ordal,N.V.,2404096,Sekt Rosado Semi Seco N.V.,3.5,347,3.99,Cava
Castell d'Ordal,N.V.,1981254,Sekt Extra Semi Seco N.V.,3.2,303,3.99,Cava
Sandara,N.V.,6262161,Chardonnay & Sake N.V.,3.6,255,3.99,Valencia
Rigol,N.V.,1234099,Cava Brut N.V.,3.2,902,4.05,Cava
Delapierre,N.V.,2356327,Cava Etiqueta Negra Semi-Seco N.V.,3.6,323,4.11,Cava
Delapierre,N.V.,1205806,Cava Etiqueta Negra Brut N.V.,3.3,1216,4.11,Cava
Blanc Pescador,N.V.,1804248,Sparkling N.V.,3.4,7953,4.15,Empordà
Bach,N.V.,1279857,Cava Rosé Brut N.V.,3.1,524,4.22,Cava
Castellblanc (Castellblanch),N.V.,2453836,Cava Brut N.V.,3.4,1482,4.4,Cava
Crestissimo,N.V.,1742223,Moscato de Aguja N.V.,3.6,118,4.49,Empordà
Palacio de Bornos,N.V.,2329608,"Verdejo 5,5° Frizzante N.V.",3.8,721,4.7,Castilla y León
Pinord,N.V.,13060,Reynal Vinos de Aguja Rosado N.V.,3.4,160,4.8,Penedès
Sandara,N.V.,1827829,Premium Sangria N.V.,3.7,772,4.9,Valencia
Sandara,N.V.,4667055,Sparkling Passionate Bubbles Rosado N.V.,3.8,1190,4.9,Valencia
Sandara,N.V.,4667053,Sparkling Blanco N.V.,3.7,569,4.9,Valencia
Delicia,N.V.,4326923,Cava Brut N.V.,3.5,32,4.95,Cava
Reymos,N.V.,1397164,Selección Brut N.V.,3.6,286,4.95,Valencia
Xènius,N.V.,1147166,Cava Brut N.V.,3.4,196,4.95,Cava
Xènius,N.V.,1147170,Cava Brut Selección N.V.,3.3,273,4.95,Cava
Xènius,N.V.,1147165,Cava Brut Nature N.V.,3.3,128,4.95,Cava
Freixenet,N.V.,1553618,Mia Moscato N.V.,3.8,4471,5.08,Cataluña
Freixa Rigau,N.V.,1154691,Familia Oliveda Cava Brut Rosado N.V.,3.8,218,5.19,Cava
Rexach Baqués,N.V.,1572436,Reserva Gran Carta Brut N.V.,3.5,132,5.36,Cava
Castillo Perelada,N.V.,1167287,Cava Semi Sec N.V.,3.6,811,5.42,Cava
MVSA de Vallformosa,N.V.,2320427,Cava Brut Nature N.V.,3.5,296,5.5,Cava
Freixenet,N.V.,1296202,Cava Blanc De Blancs Brut N.V.,3.3,500,5.5,Cava
Duc de Foix,N.V.,1147067,Cava Brut Nature N.V.,3.3,280,5.55,Cava
Castillo Perelada,N.V.,1132938,Cava Brut Reserva N.V.,3.5,5145,5.57,Cava
Segura Viudas,N.V.,5058,Aria Cava Brut N.V.,3.6,952,5.77,Cava
Marina Espumante,N.V.,1240413,Brut N.V.,3.4,132,5.8,Alicante
Ca N'Estella,N.V.,1457931,Cava Rabetllat i Vidal Brut N.V.,3.7,466,5.85,Cava
Freixenet,N.V.,3155381,Mia Pink Moscato N.V.,4.1,221,5.9,Cataluña
Marina Espumante,N.V.,1244158,Selección Monastrell Rosado N.V.,3.5,377,5.9,Alicante
Palacio de Bornos,N.V.,4243274,"Rosado 5,5° Frizzante N.V.",3.8,87,5.95,Castilla y León
Freixenet,N.V.,1141122,Cava Carta Nevada Brut N.V.,3.6,14890,5.95,Cava
Codorníu,N.V.,2470438,Clasico Cava Semi Seco N.V.,3.5,838,5.95,Cava
Terrer de La Creu,N.V.,1161196,Cava Brut Nature N.V.,3.4,185,5.95,Cava
Vía de la Plata,N.V.,1757611,Cava Brut Nature N.V.,3.6,641,5.95,Cava
Cossetània,N.V.,1228233,Cava Brut Reserva N.V.,3.7,199,5.97,Cava
El Miracle,N.V.,76612,Cava Brut Rosé N.V.,3.5,249,5.99,Cava
Hoya de Cadenas,N.V.,2552518,Cava Brut N.V.,3.6,553,5.99,Cava
El Miracle,N.V.,1207036,Cava Brut N.V.,3.3,3268,5.99,Cava
Oriol Rossell,N.V.,1282700,Cava Brut N.V.,3.4,53,6.17,Cava
Gran Ducay,N.V.,1153821,Cava Brut Nature Rosado N.V.,3.4,182,6.2,Cava
Bodegas Faustino,N.V.,1164714,Cava Semi Seco N.V.,3.6,982,6.22,Cava
Gran Ducay,N.V.,2716726,Cava Brut Nature Reserva N.V.,3.7,106,6.24,Cava
Codorníu,N.V.,1787055,Cava Clasico Brut Nature N.V.,3.5,691,6.26,Cava
Yllera,N.V.,1149909,5.5 Verdejo Frizzante N.V.,3.8,2424,6.3,Castilla y León
Freixenet,N.V.,2097413,Cava Carta Nevada Premium Semi Dry (Semi-Seco) N.V.,3.6,2368,6.3,Cataluña
Segura Viudas,N.V.,1216994,Aria Cava Brut Nature N.V.,3.4,1339,6.4,Cava
Codorníu,N.V.,1488052,Extra Cuvée Seleccionada Reserva N.V.,3.4,351,6.4,Cava
Freixenet,N.V.,5727219,Cava Carta Nevada Dulce N.V.,3.3,39,6.43,Cava
Segura Viudas,N.V.,1136077,Cava Semi Seco N.V.,3.5,411,6.45,Cava
Federico Paternina,2019,6763556,Cava Banda Azul Vintage Brut 2019,3.5,1008,6.5,Cava
Pinord,N.V.,5743972,Dibon Brut Rosé Cava N.V.,4.0,647,6.5,Cava
Marqués de la Concordia,2019,1879093,MM Selección Especial Brut Vintage 2019,3.7,77,6.5,Cava
Viña Cantosán,N.V.,1250226,Brut N.V.,3.6,150,6.5,Rueda
Louis de Vernier,N.V.,2507683,Cava Brut Nature N.V.,3.4,187,6.5,Cava
Castillo Perelada,2018,1381613,Cava Stars Brut Reserva 2018,3.6,46,6.53,Cava
Rexach Baqués,N.V.,1957652,Reserva Brut Imperial N.V.,3.6,114,6.56,Cava
Codorníu,N.V.,4281807,Gran Crémant Cava Semi-Sec N.V.,3.7,67,6.57,Cava
Freixenet,N.V.,5044,Cava Gran Carta Nevada N.V.,3.6,2913,6.58,Cava
Bach,N.V.,1199817,Gran Bach Brut N.V.,3.5,957,6.65,Cava
Freixenet,N.V.,1135811,Cava Cordón Negro Brut N.V.,3.6,18970,6.72,Cava
Freixenet,2019,1141516,Cava Reserva Vintage Brut Nature 2019,3.8,80,6.75,Cava
Gramona,N.V.,1266381,Mustillant Blanc N.V.,3.5,1067,6.85,Penedès
Marqués de la Concordia,2018,1867701,MM Reserva de la Familia Brut Nature 2018,3.7,51,6.9,Cava
Win,N.V.,2608679,Verdejo Frizzante N.V.,3.4,93,6.9,Castilla y León
Blancher,N.V.,1477996,Cava Capdevila Pujol Reserva Especial Brut Natural N.V.,3.5,350,6.9,Cava
Na Sol de Rechenna,N.V.,2055410,Semi Seco N.V.,3.3,40,6.9,Cava
Na Sol de Rechenna,N.V.,1395308,Brut Nature N.V.,3.1,156,6.9,Cava
Segura Viudas,N.V.,5057,Cava Brut Rosado N.V.,3.5,1845,6.95,Cava
Segura Viudas,N.V.,5055,Cava Brut Reserva N.V.,3.6,7324,6.95,Cava
El Miracle,N.V.,1952801,Cava Organic Brut N.V.,3.4,293,6.99,Cava
Castell de Sant Pau,N.V.,5174921,Cava Brut Nature N.V.,4.0,773,6.99,Cava
Oliver Viticultors,N.V.,3031959,Cava Brut Nature N.V.,3.6,129,7.04,Cava
Martí Serdà,N.V.,1853202,Masia d'Or Brut Nature N.V.,3.6,278,7.07,Cataluña
Yllera,N.V.,1696347,5.5 Rosé Frizzante N.V.,3.3,151,7.1,Castilla y León
Bodegas Faustino,N.V.,6713201,Cava Brut Reserva N.V.,3.6,1426,7.17,Cava
Gramona,N.V.,1602858,Brut Agulla Mustillant Rosat N.V.,3.4,192,7.2,Penedès
Marqués de Cáceres,N.V.,6521436,Cava Brut N.V.,3.6,695,7.2,Cava
Martí Serdà,N.V.,4611043,Masia d'Or Rosé N.V.,4.0,152,7.25,Cava
Clos Pons,N.V.,5886268,Cava Flocs Brut Rosé N.V.,3.8,59,7.3,Cava
Marina Espumante,N.V.,1314403,Espumoso N.V.,3.7,796,7.35,Alicante
Francesc Ricart,N.V.,2013055,Cava Brut N.V.,3.7,846,7.4,Cava
Castillo Perelada,2017,1381613,Cava Stars Brut Reserva 2017,3.5,260,7.45,Cava
Castellblanc (Castellblanch),N.V.,1152433,Cava Dos Lustros Reserva Brut Nature N.V.,3.7,319,7.45,Cava
Palacio de Bornos,N.V.,1542757,Verdejo Brut N.V.,3.5,223,7.5,Rueda
Segura Viudas,N.V.,4300307,Cava Reserva Heredad Rosé N.V.,3.8,404,7.5,Cava
