Bodega,Año,Vino_ID,Vino,Rating,Nº_reseñas,Precio,Región
Chivite,1996,78777,Navarra Reserva Coleccion 125 1996,3.9,62,50.0,Navarra
Marqués de Cáceres,1970,10249,Rioja Reserva 1970,4.0,30,50.0,Rioja
Sangenís I Vaqué,2011,96874,Clos Monlleó 2011,4.4,110,50.0,Priorato
Terra Remota,2016,1948650,Clos Adrien 2016,4.4,53,50.12,Empordà
Familia Torres,2016,2656,Salmos 2016,4.2,3374,50.16,Priorato
Benjamin de Rothschild - Vega Sicilia,2015,1921801,Macán Clásico 2015,4.3,2354,50.41,Rioja
Vall Llach,2019,1794507,Porrera Vi de Vila 2019,4.3,43,50.85,Priorato
Marqués de Riscal,2016,2218,Rioja 150 Aniversario 2016,4.3,91,51.0,Rioja
Álvaro Palacios,2019,1917453,Vi de Vila Gratallops 2019,4.4,189,51.07,Priorato
Jiménez-Landi,2018,1375903,Ataulfos 2018,4.1,40,51.26,Méntrida
Venus la Universal,2017,6401245,Venus de la Figuera 2017,4.4,63,51.5,Montsant
Muga,2014,1126125,Prado Enea Gran Reserva 2014,4.5,1401,51.95,Rioja
Pago de Carraovejas,2018,1139434,Tinto 2018,4.5,5852,52.0,Ribera del Duero
Sei Solo,2018,2055586,Tinto 2018,4.4,135,52.0,Ribera del Duero
Territorio Luthier,2015,1945713,Hispania Tinto 2015,4.3,73,52.0,Ribera del Duero
La Rioja Alta,2011,7972,Rioja Gran Reserva 904 2011,4.4,5860,52.05,Rioja
Viña Real,2016,1508734,Rioja Pagos de Viña Real 2016,4.3,62,52.25,Rioja
Oller del Mas,2017,2118918,Picapoll Negre 2017,3.9,61,52.5,Pla de Bages
Milsetentayseis,2019,9105692,Tinto 2019,4.3,31,52.9,Ribera del Duero
Marqués de Griñon,2013,1242484,Emeritvs (Emeritus) 2013,4.5,162,52.94,Dominio de Valdepusa
Milsetentayseis,2018,9105692,Tinto 2018,4.5,341,52.95,Ribera del Duero
Castillo Perelada,2013,7211771,Emporda Ex Ex 12 2013,4.2,30,53.1,Empordà
Clos Figueras,2017,1675541,Clos Figueres 2017,4.4,99,53.4,Priorato
Mas d'en Gil,2016,1198728,Clos Fontà Priorat 2016,4.2,61,53.45,Priorato
