Clase,Bodega,Año,Vino_ID,Vino,Rating,Nº_reseñas,Precio,Región,Categoría,Sello_calidad
Tinto,Viña Alcanta,2020,4764038,Tinto 2020,3.5,244,2.25,Alicante,Roble,Denominación de Origen
Tinto,Ayuso,2020,2084964,Abadia del Roble Tinto 2020,3.2,95,2.41,La Mancha,Roble,Denominación de Origen
Tinto,Faustino Rivero Ulecia,2018,5841016,Joven Tempranillo - Garnacha 2018,3.2,54,2.97,Rioja,Joven,Denominación de Origen
Tinto,Bodega Rochal,2019,4190807,Calixto Rufete 2019,3.2,28,2.98,Sierra de Salamanca,Roble,Vino de Calidad
Tinto,Cata Regia,2018,2417548,Crianza 2018,3.6,112,2.99,Terra Alta,Crianza,Denominación de Origen
Tinto,Marqués de la Concordia,2015,2805851,MM Tinto Crianza 2015,3.1,101,3.0,Cataluña,Crianza,Denominación de Origen
Tinto,Antaño,2020,1401663,Rioja Tempranillo 2020,3.3,306,3.2,Rioja,Roble,Denominación de Origen
Tinto,Corona de Aragón,2011,2185794,Special Selection 2011,3.5,287,3.22,Cariñena,Gran Reserva,Denominación de Origen
Tinto,Navajas,2018,7893993,Garnacha 2018,3.4,52,3.45,Rioja,Crianza,Denominación de Origen
Tinto,Luzon,2018,6065522,Colección Monastrell 2018,3.4,136,3.5,Jumilla,Crianza,Denominación de Origen
Tinto,Canforrales,2018,1252277,Clásico Tempranillo 2018,3.6,117,3.5,La Mancha,Crianza,Denominación de Origen
Tinto,Don Diego Escolano,2016,1194905,Reserva 2016,3.1,34,3.51,Cariñena,Reserva,Denominación de Origen
Tinto,Osborne,2020,2915910,Solaz Tempranillo 2020,3.3,348,3.57,Castilla,Roble,Sin denominación
Tinto,Las Campanas,2018,3407133,Tempranillo 2018,3.5,29,3.61,Navarra,Crianza,Denominación de Origen
Tinto,Finca La Estacada,2014,5376743,Tempranillo Crianza 2014,3.6,377,3.62,La Mancha,Crianza,Denominación de Origen
Tinto,Gran Feudo,2017,5608644,626 Barricas Edición Limitada Crianza 2017,3.2,41,3.62,Navarra,Crianza,Denominación de Origen
Tinto,Dominio de Eguren,2019,1207654,Protocolo Tinto 2019,3.5,538,3.65,Castilla,Roble,Sin denominación
Tinto,Osborne,2020,81714,Solaz Tempranillo - Cabernet Sauvignon 2020,3.5,404,3.69,Castilla,Roble,Sin denominación
Tinto,El Circo,2020,1594712,Arlequín Syrah 2020,3.6,48,3.75,Cariñena,Roble,Denominación de Origen
Tinto,Enate,2018,1158423,Tapas Tempranillo 2018,3.3,208,3.78,Somontano,Crianza,Denominación de Origen
Tinto,Los Hermanos Manzanos,2020,1657531,Tempranillo 2020,3.6,134,3.79,Rioja,Roble,Denominación de Origen
Tinto,El Circo,2020,2137289,Volatinero Tempranillo 2020,3.6,295,3.9,Cariñena,Roble,Denominación de Origen
Tinto,Félix Solís,2019,3349567,Casa Albali Tempranillo - Shiraz 2019,3.6,157,3.95,Valdepeñas,Roble,Denominación de Origen
Tinto,Reserva de la Tierra,2017,6485347,Pago de Pelde Syrah - Tempranillo 2017,3.8,118,3.99,Terra Alta,Crianza,Denominación de Origen
Tinto,Félix Solís,2012,2667778,Casa Albali Crianza 2012,2.9,43,3.99,Valdepeñas,Crianza,Denominación de Origen
Tinto,Hoya de Cadenas,2018,1437851,Reserva Tempranillo 2018,3.4,171,3.99,Utiel-Requena,Reserva,Denominación de Origen
Tinto,Bach,2020,1255221,Viña Extrísima Tinto 2020,3.2,146,4.0,Cataluña,Roble,Denominación de Origen
Tinto,Ca N'Estella,2019,1446183,Clot Dels Oms Petit Tinto 2019,3.3,58,4.0,Penedès,Roble,Denominación de Origen
Tinto,Ayuso,2017,2198505,Estola Crianza 2017,3.4,268,4.03,La Mancha,Crianza,Denominación de Origen
Tinto,Bodegas Aragonesas,2020,1577616,Coto de Hayas Tempranillo - Cabernet Sauvignon Roble 2020,3.5,108,4.1,Campo de Borja,Roble,Denominación de Origen
Tinto,Finca del Mar,2018,76609,Tempranillo Crianza 2018,3.4,226,4.166666666666667,Utiel-Requena,Crianza,Denominación de Origen
Tinto,Valcarlos,2014,1169714,Fortius Crianza 2014,3.6,223,4.2,Navarra,Crianza,Denominación de Origen
Tinto,Berceo,2016,1141591,Crianza 2016,3.6,193,4.21,Rioja,Crianza,Denominación de Origen
Tinto,Bodegas Faustino,2020,9880817,VII Cabernet Sauvignon 2020,3.7,55,4.21,Vino de España,Roble,Sin denominación
Tinto,Federico Paternina,2019,13190,Banda Azul Crianza 2019,3.5,166,4.21,Rioja,Crianza,Denominación de Origen
Tinto,Falset Marçà,2020,1373160,Imus Selection 2020,3.3,92,4.22,Montsant,Roble,Denominación de Origen
Tinto,Bodegas Vallobera,2014,1205627,Crianza Rioja 2014,3.6,635,4.26,Rioja,Crianza,Denominación de Origen
Tinto,Honoro Vera,2018,2141257,Organic Monastrell 2018,3.7,964,4.28,Jumilla,Crianza,Denominación de Origen
Tinto,Berceo,2018,5389307,Tempranillo 2018,3.5,185,4.28,Rioja,Crianza,Denominación de Origen
Tinto,Bodega Pirineos,2021,2696722,Montesierra Red Blend 2021,3.3,42,4.3,Somontano,Joven,Denominación de Origen
Tinto,Monasterio de Las Vinas,2018,7957055,Reserva Grandes Vinos L'Héritage Cariñena 2018,3.6,57,4.3,Cariñena,Reserva,Denominación de Origen
Tinto,Rigau Ros,2018,1467514,Criança 2018,3.7,38,4.3,Empordà,Crianza,Denominación de Origen
Tinto,El Aviador,2020,1223778,Tempranillo 2020,3.4,99,4.35,Castilla y León,Roble,Sin denominación
Tinto,Bodegas Aragonesas,2020,1144372,Coto de Hayas Garnacha - Syrah 2020,3.5,133,4.4,Aragón,Roble,Sin denominación
Tinto,Gran Feudo,2013,12305,Crianza 2013,3.4,629,4.42,Navarra,Crianza,Denominación de Origen
Tinto,Azabache,2021,7151382,Tunante de Azabache Tempranillo 2021,3.4,112,4.45,Rioja,Joven,Denominación de Origen
Tinto,Condesa de Leganza,2017,1173157,Tempranillo 2017,3.4,850,4.46,Castilla,Crianza,Sin denominación
Tinto,Gran Feudo,2017,12305,Crianza 2017,3.7,317,4.49,Navarra,Crianza,Denominación de Origen
Tinto,Gran Feudo,2016,12305,Crianza 2016,3.6,167,4.49,Navarra,Crianza,Denominación de Origen
Tinto,Castillo Perelada,2020,2352415,Empordà Jardins Negre 2020,3.4,54,4.5,Empordà,Roble,Denominación de Origen
Tinto,Yllera,2018,5965659,9 Meses en Barrica Roble Tempranillo 2018,3.7,125,4.5,Ribera del Duero,Roble,Denominación de Origen
Tinto,Monasterio de Las Vinas,2018,1437023,Crianza 2018,3.8,1016,4.5,Cariñena,Crianza,Denominación de Origen
Tinto,Borsao Bodegas,2020,1136710,Tinto (Selección / Garnacha) 2020,3.6,760,4.5,Campo de Borja,Roble,Denominación de Origen
Tinto,Venta La Vega - Bodegas Almanseñas,2020,6169225,Adaras Aldea 2020,3.5,69,4.5,Almansa,Roble,Denominación de Origen
Tinto,Beso de Vino,2019,3316211,Syrah - Garnacha 2019,3.5,61,4.5,Cariñena,Roble,Denominación de Origen
Tinto,Federico Paternina,2020,13190,Banda Azul Crianza 2020,3.5,242,4.5,Rioja,Crianza,Denominación de Origen
Tinto,Bodegas Príncipe de Viana,2020,1570095,Colección Monovarietales Syrah Roble 2020,3.3,26,4.55,Navarra,Roble,Denominación de Origen
Tinto,Toresanas,2019,3831707,Orot 2019,3.6,46,4.6,Toro,Roble,Denominación de Origen
Tinto,Emendis,2021,3585530,Cabró! Negre Selecció 2021,3.2,38,4.6,Penedès,Joven,Denominación de Origen
Tinto,Marqués de la Concordia,2020,6936101,Rioja Santiago Segundo Año 2020,3.7,183,4.6,Rioja,Roble,Denominación de Origen
Tinto,Finca La Estacada,2019,3495681,Hello World Cabernet Franc 2019,3.7,138,4.62,Castilla,Roble,Sin denominación
Tinto,La Purisima,2019,4699404,Consentido Syrah 2019,3.7,67,4.65,Yecla,Roble,Denominación de Origen
Tinto,San Valero,2020,5314823,Origium Roble 2020,3.5,26,4.66,Cariñena,Roble,Denominación de Origen
Tinto,La Purisima,2018,4313884,Old Hands Roble 2018,3.6,35,4.66,Yecla,Roble,Denominación de Origen
Tinto,Bodega Sommos,2020,4171137,Glárima Merlot - Tempranillo 2020,3.5,381,4.7,Somontano,Roble,Denominación de Origen
Tinto,Señorío de Sarria,2017,1125826,Crianza 2017,3.6,148,4.73,Navarra,Crianza,Denominación de Origen
Tinto,Don Diego Escolano,2011,1927816,Gran Reserva 2011,3.4,92,4.73,Cariñena,Gran Reserva,Denominación de Origen
Tinto,Señorío de Sarria,2016,1125826,Crianza 2016,3.6,332,4.74,Navarra,Crianza,Denominación de Origen
Tinto,Viñas del Vero,2020,23477,Roble Cabernet Sauvignon - Merlot Somontano 2020,3.4,625,4.74,Somontano,Roble,Denominación de Origen
Tinto,Bodegas Príncipe de Viana,2020,4611595,Colección Monovarietales Tempranillo Roble 2020,3.5,324,4.75,Navarra,Roble,Denominación de Origen
Tinto,Miedes,2020,76940,Crianza 2020,3.6,25,4.76,Calatayud,Crianza,Denominación de Origen
Tinto,Ca N'Estruc,2021,1222462,Negre 2021,3.6,27,4.77,Cataluña,Joven,Denominación de Origen
Tinto,Marqués de Altillo,2020,1218269,Tinto 2020,3.2,28,4.78,Rioja,Roble,Denominación de Origen
